Machine_ID,Machine_Name,Platform,Platform_ID,OS,OS_Detail,Difficulty,Difficulty_Numeric,Attack_Category,Attack_Category_Detail,Vulnerability_Type,Kill_Chain_Stages,Skills_Required,Learning_Objectives,Estimated_Time,Estimated_Time_Hours,Attack_Path_Length,Entry_Point
88,SkyDog,VulnHub,0,Linux,Web Server + SSH,Hard,3,Web Exploitation,Web Enumeration + Multi-Stage Credential Attack,Web Enumeration → Steganography Extraction → Archive Cracking → Packet Analysis → Wordlist Generation → Brute Force → SSH Access → Cron Abuse → Privilege Escalation,Recon → Enumeration → Exploitation → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; Steganography Extraction; Archive Cracking; Packet Analysis; Wordlist Generation; Brute Force; SSH Access; Privilege Escalation,Web Enumeration; Steganography Extraction; Archive Cracking; Packet Analysis; Wordlist Generation; Brute Force; SSH Access; Cron Abuse; Privilege Escalation,3-4 hours,3.5,9,Metadata Extraction (ExifTool on web image) - multi-flag CTF
89,TommyBoy,VulnHub,0,Linux,Web Server + WordPress + FTP + SSH,Hard,3,Network Exploitation,Web Enumeration + Multi-Service Credential Chain + File Upload Exploitation,Web Enumeration → Steganography Extraction → Hash Cracking → SSH Access → WordPress Enumeration → FTP Anonymous Access → Encoding/Decoding → Privilege Escalation,Recon → Enumeration → Exploitation → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; Steganography Extraction; Hash Cracking; SSH Access; WordPress Enumeration; FTP Anonymous Access; Encoding/Decoding; Privilege Escalation,Web Enumeration; Steganography Extraction; Hash Cracking; SSH Access; WordPress Enumeration; Network Enumeration; Encoding/Decoding; Privilege Escalation,4+ hours,4.5,9,Multiple vectors: robots.txt → YouTube hidden clue → WordPress + FTP + Steganography chain
90,FristiLeaks,VulnHub,0,Linux,Web Server,Medium,2,Web Exploitation,Web Exploitation + Credential Extraction + Privilege Escalation via Misconfigured Script,Web Enumeration → Source Code Disclosure → Encoding/Decoding → File Upload Exploitation → Reverse Shell → Cron Abuse → Credential Extraction → Sudo Exploitation → Privilege Escalation,Recon → Exploitation → Execution → Credential Access → Privilege Escalation,Enumeration; Source Code Disclosure; Encoding/Decoding; File Upload; Reverse Shell; Cron Analysis; Credential Extraction; Sudo Exploitation; Privilege Escalation,Web Enumeration; Source Code Disclosure; Encoding/Decoding; File Upload Exploitation; Reverse Shell; Cron Abuse; Credential Extraction; Sudo Exploitation; Privilege Escalation,2-3 hours,2.5,9,Source Code Disclosure (username in page source + base64 encoded image as password)
91,SpyderSec,VulnHub,0,Linux,Web Server,Medium,2,Web Exploitation,Web Recon + Forensics + Hidden Data Extraction,Web Enumeration → Steganography Extraction → Encoding/Decoding → Source Code Disclosure → Authentication Bypass → Hidden File Discovery,Recon → Enumeration → Exploitation,Enumeration; Steganography Extraction; Encoding/Decoding; Source Code Disclosure; BurpSuite; Hidden File Discovery,Web Enumeration; Steganography Extraction; Encoding/Decoding; Source Code Disclosure; Authentication Bypass; Hidden File Discovery,2-3 hours,2.5,6,Metadata Extraction (ExifTool EXIF comment with multi-layer hex encoding)
92,Acid Server,VulnHub,0,Linux,Web Server,Hard,3,Network Exploitation,OS Command Injection + Network Forensics + Privilege Escalation,Web Enumeration → Command Injection → Remote Code Execution → Packet Analysis → Credential Extraction → Sudo Exploitation → Privilege Escalation,Recon → Exploitation → Execution → Credential Access → Privilege Escalation,Enumeration; Command Injection; Metasploit; Packet Analysis; Credential Extraction; Sudo Exploitation; Privilege Escalation,Web Enumeration; Command Injection; Remote Code Execution; Packet Analysis; Credential Extraction; Sudo Exploitation; Privilege Escalation,2-3 hours,2.5,7,Command Injection (ping portal on /Challenge/Magic_Box/command.php - non-standard port 33447)
93,Lord of the Root,VulnHub,0,Linux,SSH + Hidden Web Service,Hard,3,Network Exploitation,Port Knocking + Web Exploitation + Credential Attack + Kernel Privilege Escalation,Port Knocking → Web Enumeration → Encoding/Decoding → SQL Injection → Database Enumeration → Brute Force → SSH Access → Kernel Exploitation → Privilege Escalation,Recon → Enumeration → Exploitation → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; Port Knocking; Encoding/Decoding; SQL Injection; Brute Force; Kernel Exploitation; Privilege Escalation,Network Enumeration; Port Knocking; Web Enumeration; Encoding/Decoding; SQL Injection; Database Enumeration; Brute Force; SSH Access; Kernel Exploitation; Privilege Escalation,2-3 hours,2.5,9,"Port Knocking (SSH banner hint ""Easy as 1,2,3"") → HTTP on port 1337"
94,Acid Reloaded,VulnHub,0,Linux,SSH + Hidden Web Service,Hard,3,Network Exploitation,Port Knocking + Web Exploitation + Forensics + Privilege Escalation,Port Knocking → Web Enumeration → Authentication Bypass → SQL Injection → Database Enumeration → Brute Force → SSH Access → Kernel Exploitation → Privilege Escalation,Recon → Enumeration → Exploitation → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; Port Knocking; Authentication Bypass; SQL Injection; Brute Force; Kernel Exploitation; Privilege Escalation,Network Enumeration; Port Knocking; Web Enumeration; Authentication Bypass; SQL Injection; Database Enumeration; Brute Force; SSH Access; Kernel Exploitation; Privilege Escalation,2-3 hours,2.5,9,"Port Knocking (SSH banner hint ""3.2.1"") → HTTP on port 33447"
95,HackDay Albania,VulnHub,0,Linux,Web Server + SSH,Medium,2,Web Exploitation,Web Exploitation + File Upload + Privilege Escalation via /etc/passwd Manipulation,Web Enumeration → SQL Injection → Authentication Bypass → File Upload Exploitation → Reverse Shell → Passwd File Manipulation → Privilege Escalation,Recon → Exploitation → Web Access → Execution → Privilege Escalation,Enumeration; SQL Injection; Authentication Bypass; File Upload; Reverse Shell; Passwd File Manipulation; Privilege Escalation,Web Enumeration; SQL Injection; Authentication Bypass; File Upload Exploitation; Reverse Shell; Passwd File Manipulation; Privilege Escalation,1-2 hours,1.5,7,SQL Injection (authentication bypass on /vulnbank/client login - found via robots.txt)
96,Fortress,VulnHub,0,Linux,Web Server + SSH,Medium,2,Web Exploitation,Web Exploitation + Command Injection + Credential Cracking + Symlink Abuse,Web Enumeration → Command Injection → Remote Code Execution → Hash Cracking → SSH Access → Wordlist Generation → Privilege Escalation,Recon → Exploitation → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; Command Injection; BurpSuite; Hash Cracking; SSH Access; Wordlist Generation; Privilege Escalation,Web Enumeration; Command Injection; Remote Code Execution; Hash Cracking; SSH Access; Wordlist Generation; Privilege Escalation,2-3 hours,2.5,7,Command Injection (scanner.php Nmap portal - OS command execution via BurpSuite Repeater)
97,USV,VulnHub,0,Linux,Web Server + SSH + FTP + Proxy + MySQL,Hard,3,Network Exploitation,Web Exploitation + Crypto Analysis + WordPress Exploitation + Privilege Escalation (PATH Hijacking),Encoding/Decoding → Web Enumeration → Wordlist Generation → FTP Anonymous Access → CMS Exploitation → File Upload Exploitation → Webshell Execution → PATH Hijacking → Privilege Escalation,Recon → Enumeration → Exploitation → Credential Access → Execution → Privilege Escalation,Enumeration; Encoding/Decoding; Wordlist Generation; FTP Anonymous Access; CMS Exploitation; File Upload; Webshell Execution; PATH Hijacking; Privilege Escalation,Network Enumeration; Encoding/Decoding; Web Enumeration; Wordlist Generation; CMS Exploitation; File Upload Exploitation; Webshell Execution; PATH Hijacking; Privilege Escalation,4+ hours,4.5,9,Multi-stage CTF: SSH AES-ECB encoded banner + HTTP proxy (port 3129) + WordPress + FTP
98,PIPE,VulnHub,0,Linux,Web Server + SSH + RPC,Hard,3,Web Exploitation,Web Exploitation + Deserialization + Wildcard Privilege Escalation,Web Enumeration → Source Code Disclosure → Authentication Bypass → Insecure Deserialization → Remote Code Execution → Reverse Shell → Wildcard Injection → Privilege Escalation,Recon → Exploitation → Execution → Privilege Escalation,Enumeration; Source Code Disclosure; Authentication Bypass; Insecure Deserialization; BurpSuite; Remote Code Execution; Wildcard Injection; Privilege Escalation,Web Enumeration; Source Code Disclosure; Authentication Bypass; Insecure Deserialization; Remote Code Execution; Reverse Shell; Wildcard Injection; Privilege Escalation,2-3 hours,2.5,8,PHP Object Deserialization (serialized cookie manipulation via BurpSuite)
99,Fartknocker,VulnHub,0,Linux,Web Server + SSH,Hard,3,Network Exploitation,Network Exploitation + Port Knocking + Packet Analysis + Kernel Exploitation,Network Enumeration → Packet Analysis → Port Knocking → Web Enumeration → Encoding/Decoding → SSH Access → Sudo Exploitation → Privilege Escalation,Recon → Enumeration → Exploitation → Lateral Movement → Privilege Escalation,Enumeration; Packet Analysis; Port Knocking; Encoding/Decoding; SSH Access; Sudo Exploitation; Privilege Escalation,Network Enumeration; Packet Analysis; Port Knocking; Web Enumeration; Encoding/Decoding; SSH Access; Sudo Exploitation; Privilege Escalation,2-3 hours,2.5,8,Packet Analysis (pcap file reveals port knocking sequence)
100,Bot Challeneg: Dexter,VulnHub,0,Linux,Web Server + SSH + RPC,Hard,3,Web Exploitation,Web Exploitation + Blind SQL Injection + Webshell + Bot Injection + Privilege Escalation,Web Enumeration → SQL Injection → Database Enumeration → Hash Cracking → File Upload Exploitation → Webshell Execution → SUID Exploitation → Privilege Escalation,Recon → Exploitation → Credential Access → Execution → Privilege Escalation,Enumeration; SQL Injection; Hash Cracking; File Upload; Webshell Execution; SUID Exploitation; Privilege Escalation,Web Enumeration; SQL Injection; Database Enumeration; Hash Cracking; File Upload Exploitation; Webshell Execution; SUID Exploitation; Privilege Escalation,2-3 hours,2.5,8,SQL Injection (gateway.php parameter) after directory enumeration
101,Defense Space CTF 2017,VulnHub,0,Linux,,Hard,3,Network Exploitation,Multi-Stage Exploitation,Web Enumeration → Encoding/Decoding → FTP Anonymous Access → Network Enumeration → SSH Access → Credential Extraction,Recon → Enumeration → Credential Access → Lateral Movement,Enumeration; Encoding/Decoding; FTP Anonymous Access; Network Enumeration; SSH Access; Credential Extraction,Web Enumeration; Encoding/Decoding; Network Enumeration; SSH Access; Credential Extraction,2-3 hours,2.5,7,Multiple: Source code disclosure + FTP anonymous + SNMP enumeration
102,Super Mario,VulnHub,0,Linux,Web Server + SSH + Multi-Network,Hard,3,Mixed (Web + Network),Web + System + Pivoting Exploitation,Web Enumeration → Source Code Disclosure → WordPress Enumeration → Local File Inclusion → Remote File Inclusion → Webshell Execution → Kernel Exploitation → Privilege Escalation,Recon → Enumeration → Exploitation → Execution → Privilege Escalation,Enumeration; Source Code Disclosure; WordPress Enumeration; Local File Inclusion; Remote File Inclusion; Kernel Exploitation; Privilege Escalation,Web Enumeration; Source Code Disclosure; WordPress Enumeration; Local File Inclusion; Remote File Inclusion; Webshell Execution; Kernel Exploitation; Privilege Escalation,2-3 hours,2.5,8,WordPress Plugin LFI (Gwolle Guestbook - CVE-2015-8351) on virtual host
103,DonkeyDocker,VulnHub,0,Linux,Web Server + SSH + Docker,Medium,2,Web Exploitation,Web Exploitation + Container Escape,Web Enumeration → Service Exploitation → Remote Code Execution → Reverse Shell → SUID Exploitation → Privilege Escalation,Recon → Exploitation → Execution → Privilege Escalation,Enumeration; Service Exploitation; Remote Code Execution; Reverse Shell; SUID Exploitation; Privilege Escalation,Web Enumeration; Service Exploitation; Remote Code Execution; Reverse Shell; SUID Exploitation; Privilege Escalation,1-2 hours,1.5,6,PHPMailer 5.2.16 RCE (CVE-2016-10033) via contact form
104,Analougepond,VulnHub,0,Linux,SNMP + SSH + Multi-Host Network,Hard,3,Network Exploitation,Network Exploitation + Pivoting + Crypto + Steganography,Network Enumeration → Credential Extraction → SSH Access → Network Pivoting → Privilege Escalation,Recon → Enumeration → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; Network Enumeration; Credential Extraction; SSH Access; Network Pivoting; Privilege Escalation,Network Enumeration; Credential Extraction; SSH Access; Network Pivoting; Privilege Escalation,2-3 hours,2.5,6,SNMP Enumeration (credentials hidden in SNMP contact/location fields)
105,Zico2,VulnHub,0,Linux,Web Server + Database + SSH,Medium,2,Web Exploitation,Web Exploitation + File Inclusion + Database Exploitation,Local File Inclusion → Database Admin Access → Database Exploitation → Webshell Execution → Reverse Shell → Credential Extraction → Sudo Exploitation → Privilege Escalation,Recon → Exploitation → Execution → Credential Access → Privilege Escalation,Enumeration; Local File Inclusion; Database Exploitation; Webshell Execution; Reverse Shell; Credential Extraction; Sudo Exploitation; Privilege Escalation,Web Enumeration; Local File Inclusion; Database Exploitation; Webshell Execution; Reverse Shell; Credential Extraction; Sudo Exploitation; Privilege Escalation,2-3 hours,2.5,8,Local File Inclusion (tools.html page parameter)
106,Covfefe,VulnHub,0,Linux,Web Server + SSH,Medium,2,Network Exploitation,Web Exploitation + SSH Key Abuse + Binary Exploitation,Web Enumeration → SSH Key Extraction → SSH Access → SUID Exploitation → Hash Cracking → Privilege Escalation,Recon → Enumeration → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; SSH Key Extraction; SSH Access; SUID Exploitation; Hash Cracking; Privilege Escalation,Web Enumeration; SSH Key Extraction; SSH Access; SUID Exploitation; Hash Cracking; Privilege Escalation,1-2 hours,1.5,6,SSH Private Key Disclosure (/.ssh directory exposed on port 31337)
107,Depth,VulnHub,0,Linux,Web Server + Tomcat + SSH,Easy,1,Network Exploitation,Web Exploitation + Command Execution,Web Enumeration → Information Disclosure → SSH Access → Sudo Exploitation → Reverse Shell → Privilege Escalation,Recon → Exploitation → Lateral Movement → Privilege Escalation,Enumeration; Information Disclosure; SSH Access; Sudo Exploitation; Reverse Shell; Privilege Escalation,Web Enumeration; Information Disclosure; SSH Access; Sudo Exploitation; Reverse Shell; Privilege Escalation,1-2 hours,1.5,6,Apache Tomcat JSP file listing script (arbitrary command disclosure)
108,EvilScience,VulnHub,0,Linux,Web Server + SSH,Medium,2,Web Exploitation,Web Exploitation + Log Poisoning + Privilege Escalation,Web Enumeration → Local File Inclusion → Log File Injection → Remote Code Execution → Kernel Exploitation → Privilege Escalation,Recon → Exploitation → Execution → Privilege Escalation,Enumeration; Local File Inclusion; Log File Injection; Remote Code Execution; Kernel Exploitation; Privilege Escalation,Web Enumeration; Local File Inclusion; Log File Injection; Remote Code Execution; Kernel Exploitation; Privilege Escalation,2-3 hours,2.5,6,Local File Inclusion → SSH Log Poisoning (PHP injection via SSH username into auth.log)
109,DerpNStink,VulnHub,0,Linux,Web Server + WordPress + FTP + SSH,Hard,3,Web Exploitation,Web Exploitation + WordPress + Network Forensics,Web Enumeration → Source Code Disclosure → WordPress Enumeration → CMS Exploitation → File Upload Exploitation → SSH Key Extraction → SSH Access → Credential Extraction → Sudo Exploitation → Privilege Escalation,Recon → Exploitation → Execution → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; CMS Exploitation; File Upload; SSH Key Extraction; SSH Access; Credential Extraction; Sudo Exploitation; Privilege Escalation,Web Enumeration; Source Code Disclosure; WordPress Enumeration; CMS Exploitation; File Upload Exploitation; SSH Key Extraction; SSH Access; Credential Extraction; Sudo Exploitation; Privilege Escalation,2-3 hours,2.5,10,WordPress Slideshow Gallery plugin exploit (authenticated file upload)
110,W1R3S.inc,VulnHub,0,Linux,Web Server + SSH,Easy,1,Network Exploitation,Web Exploitation + Credential Extraction + Privilege Escalation,FTP Anonymous Access → Web Enumeration → Local File Inclusion → Hash Cracking → SSH Access → Sudo Exploitation → Privilege Escalation,Recon → Enumeration → Exploitation → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; FTP Anonymous Access; Local File Inclusion; Hash Cracking; SSH Access; Sudo Exploitation; Privilege Escalation,Network Enumeration; Web Enumeration; Local File Inclusion; Hash Cracking; SSH Access; Sudo Exploitation; Privilege Escalation,1-2 hours,1.5,7,FTP Anonymous Access + Cuppa CMS LFI (exploit 25971)
111,Bob 1.0.1,VulnHub,0,Linux,Web Server + SSH,Hard,3,Web Exploitation,Web Exploitation + Cryptographic Analysis + Privilege Escalation,Web Enumeration → Command Injection → Reverse Shell → Credential Extraction → SSH Access → Privilege Escalation,Recon → Exploitation → Execution → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; Command Injection; Reverse Shell; Credential Extraction; SSH Access; Privilege Escalation,Web Enumeration; Command Injection; Reverse Shell; Credential Extraction; SSH Access; Privilege Escalation,2-3 hours,2.5,6,Command Injection (dev_shell.php filtered web shell - pipe bypass)
112,Blackmarket,VulnHub,0,Linux,Web Server + FTP + Mail Server + SSH,Hard,3,Web Exploitation,Web Exploitation + Credential Chain + Steganography + Crypto,Web Enumeration → Encoding/Decoding → Wordlist Generation → Brute Force → SQL Injection → Authentication Bypass → Webmail Access → Credential Extraction → File Upload Exploitation → Sudo Exploitation → Privilege Escalation,Recon → Enumeration → Exploitation → Credential Access → Execution → Privilege Escalation,Enumeration; Encoding/Decoding; Wordlist Generation; Brute Force; SQL Injection; Webmail Access; File Upload; Sudo Exploitation; Privilege Escalation,Web Enumeration; Encoding/Decoding; Wordlist Generation; Brute Force; SQL Injection; Authentication Bypass; Webmail Access; File Upload Exploitation; Sudo Exploitation; Privilege Escalation,3-4 hours,3.5,11,Multiple: Source code flag + CeWL wordlist + FTP brute force + SQL injection
113,Blacklight 1,VulnHub,0,Linux,Web Server + Custom Service,Medium,2,Network Exploitation,Web Exploitation + Custom Service Interaction + Steganography,Web Enumeration → Network Service Exploitation → File Upload Exploitation → Reverse Shell → Privilege Escalation,Recon → Exploitation → Execution → Privilege Escalation,Enumeration; Network Service Exploitation; File Upload; Reverse Shell; Privilege Escalation,Web Enumeration; Network Enumeration; Network Service Exploitation; File Upload Exploitation; Reverse Shell; Privilege Escalation,1-2 hours,1.5,5,Unauthenticated upload service on port 9072 (telnet)
114,GoldenEye 1,VulnHub,0,Linux,Web Server + POP3 + Moodle CMS + SSH,Hard,3,Network Exploitation,Web Exploitation + Mail + CMS Exploitation + Kernel Exploitation,Web Enumeration → Source Code Disclosure → Encoding/Decoding → Network Enumeration → Brute Force → CMS Exploitation → Remote Code Execution → Kernel Exploitation → Privilege Escalation,Recon → Enumeration → Exploitation → Execution → Privilege Escalation,Enumeration; Source Code Disclosure; Encoding/Decoding; Brute Force; Moodle Exploitation; Kernel Exploitation; Privilege Escalation,Web Enumeration; Source Code Disclosure; Encoding/Decoding; Network Enumeration; Brute Force; CMS Exploitation; Remote Code Execution; Kernel Exploitation; Privilege Escalation,3-4 hours,3.5,9,Source Code Disclosure (terminal.js reveals HTML-encoded credentials)
115,Temple of Doom,VulnHub,0,Linux,Node.js Web Application + SSH + System Services,Hard,3,Web Exploitation,Web Exploitation + Deserialization + Service Exploitation + Privilege Escalation,Web Enumeration → Authentication Bypass → Insecure Deserialization → Remote Code Execution → Reverse Shell → Service Exploitation → Privilege Escalation,Recon → Exploitation → Execution → Privilege Escalation,Enumeration; Authentication Bypass; Node.js Deserialization; BurpSuite; Remote Code Execution; Reverse Shell; Privilege Escalation,Web Enumeration; Authentication Bypass; Insecure Deserialization; Remote Code Execution; Reverse Shell; Service Exploitation; Privilege Escalation,2-3 hours,2.5,7,Node.js Deserialization RCE (double-encoded cookie on port 666)
116,Wakanda 1,VulnHub,0,Linux,Web Server + SSH + RPC,Hard,3,Web Exploitation,Web Exploitation + File Inclusion + Privilege Escalation via Sudo Abuse,Web Enumeration → Source Code Disclosure → Local File Inclusion → Encoding/Decoding → SSH Access → Cron Abuse → Reverse Shell → Sudo Exploitation → Privilege Escalation,Recon → Exploitation → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; Source Code Disclosure; Local File Inclusion; PHP Filter; SSH Access; Cron Analysis; Sudo Exploitation; Privilege Escalation,Web Enumeration; Source Code Disclosure; Local File Inclusion; Encoding/Decoding; SSH Access; Cron Abuse; Reverse Shell; Sudo Exploitation; Privilege Escalation,2-3 hours,2.5,9,Local File Inclusion via PHP filter wrapper (lang parameter in source code)
117,ch4inrulz 1.0.1,VulnHub,0,Linux,Web Server + API + SSH,Hard,3,Web Exploitation,Web Exploitation + File Inclusion + File Upload + Kernel Exploitation,Web Enumeration → Local File Inclusion → Hash Cracking → Authentication Bypass → File Upload Exploitation → File Extension Bypass → Webshell Execution → Kernel Exploitation → Privilege Escalation,Recon → Exploitation → Credential Access → Execution → Privilege Escalation,Enumeration; Local File Inclusion; Hash Cracking; Authentication Bypass; File Upload; Magic Byte Injection; Webshell Execution; Kernel Exploitation; Privilege Escalation,Web Enumeration; Local File Inclusion; Hash Cracking; Authentication Bypass; File Upload Exploitation; File Extension Bypass; Webshell Execution; Kernel Exploitation; Privilege Escalation,2-3 hours,2.5,9,LFI on port 8011 API (file parameter) leading to credential and shell chain
118,MinU 1,VulnHub,0,Linux,Web Server + SSH,Medium,2,Web Exploitation,Web Exploitation + Remote Code Execution + Token Cracking,Web Enumeration → Remote Code Execution → Hash Cracking → Reverse Shell → SUID Exploitation → Privilege Escalation,Recon → Exploitation → Credential Access → Execution → Privilege Escalation,Enumeration; Remote Code Execution; WAF Bypass; Hash Cracking; Reverse Shell; SUID Exploitation; Privilege Escalation,Web Enumeration; Remote Code Execution; Hash Cracking; Reverse Shell; SUID Exploitation; Privilege Escalation,2-3 hours,2.5,7,Remote Code Execution (test.php file parameter) with WAF bypass
119,Raven,VulnHub,0,Linux,Web Server + WordPress + MySQL + SSH,Hard,3,Web Exploitation,Web Exploitation + Credential Attack + Database Exploitation + Privilege Escalation,Web Enumeration → WordPress Enumeration → Brute Force → SSH Access → Source Code Disclosure → Database Exploitation → SUID Exploitation → Privilege Escalation,Recon → Exploitation → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; WordPress Enumeration; Brute Force; SSH Access; Source Code Disclosure; MySQL UDF Exploitation; SUID Exploitation; Privilege Escalation,Web Enumeration; WordPress Enumeration; Brute Force; SSH Access; Source Code Disclosure; Database Exploitation; SUID Exploitation; Privilege Escalation,2-3 hours,2.5,8,WordPress user enumeration + SSH brute force
120,Raven 2,VulnHub,0,Linux,Web Server + WordPress + MySQL + SSH,Hard,3,Web Exploitation,Web Exploitation + Remote Code Execution + Database Exploitation + Privilege Escalation,Web Enumeration → Information Disclosure → Service Exploitation → Remote Code Execution → Source Code Disclosure → Database Exploitation → SUID Exploitation → Privilege Escalation,Recon → Exploitation → Execution → Credential Access → Privilege Escalation,Enumeration; Service Exploitation; Remote Code Execution; Source Code Disclosure; MySQL UDF Exploitation; SUID Exploitation; Privilege Escalation,Web Enumeration; Information Disclosure; Service Exploitation; Remote Code Execution; Source Code Disclosure; Database Exploitation; SUID Exploitation; Privilege Escalation,2-3 hours,2.5,8,PHPMailer 5.2.6 RCE exploit (CVE-2016-10033) - version found in /vendor/VERSION
121,Escalate_Linux 1,VulnHub,0,Linux,Web Server + System Services + Multiple Users,Hard,3,Web Exploitation,Web Exploitation + Command Injection + Privilege Escalation Techniques,Web Enumeration → Remote Code Execution → SUID Exploitation → Sudo Exploitation → Cron Abuse → Passwd File Manipulation → Privilege Escalation,Recon → Exploitation → Execution → Privilege Escalation,Enumeration; Remote Code Execution; SUID Exploitation; Sudo Exploitation; Cron Analysis; Passwd File Manipulation; Privilege Escalation,Web Enumeration; Remote Code Execution; SUID Exploitation; Sudo Exploitation; Cron Abuse; Passwd File Manipulation; Privilege Escalation,2-3 hours,2.5,7,Remote Code Execution (shell.php?cmd= exposed via dirb)
122,Mercy,VulnHub,0,Linux,Web Server + SMB + Tomcat + SSH + Mail Services,Hard,3,Network Exploitation,Network Exploitation + Port Knocking + Web Exploitation + Credential Chain + Privilege Escalation,Web Enumeration → Encoding/Decoding → Network Enumeration → Credential Extraction → Port Knocking → Service Exploitation → Remote Code Execution → Cron Abuse → Privilege Escalation,Recon → Enumeration → Exploitation → Execution → Privilege Escalation,Enumeration; Encoding/Decoding; Network Enumeration; Port Knocking; Service Exploitation; Cron Analysis; Privilege Escalation,Web Enumeration; Encoding/Decoding; Network Enumeration; Credential Extraction; Port Knocking; Service Exploitation; Remote Code Execution; Cron Abuse; Privilege Escalation,3-4 hours,3.5,9,Base64 encoded credentials on web page → SMB enumeration + Port Knocking
123,KFIOFan 1,VulnHub,0,Linux,Web Server + SSH,Medium,2,Web Exploitation,Web Exploitation + SQL Injection + Credential Extraction + Privilege Escalation,Web Enumeration → Encoding/Decoding → SQL Injection → SSH Key Extraction → SSH Access → Sudo Exploitation → Privilege Escalation,Recon → Exploitation → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; Encoding/Decoding; SQL Injection; SSH Key Extraction; SSH Access; Sudo Exploitation; Privilege Escalation,Web Enumeration; Encoding/Decoding; SQL Injection; SSH Key Extraction; SSH Access; Sudo Exploitation; Privilege Escalation,2-3 hours,2.5,7,HTTP Basic Auth bypass (geographic coordinates hint → Google Maps → password)
124,RootThis 1,VulnHub,0,Linux,Web Server + Drupal CMS + System,Medium,2,Web Exploitation,Web Exploitation + Backup File Disclosure + Credential Cracking + Privilege Escalation,Web Enumeration → Archive Cracking → Hash Cracking → CMS Exploitation → Webshell Execution → Reverse Shell → Privilege Escalation,Recon → Exploitation → Credential Access → Execution → Privilege Escalation,Enumeration; Archive Cracking; Hash Cracking; CMS Exploitation; Webshell Execution; Reverse Shell; Privilege Escalation,Web Enumeration; Archive Cracking; Hash Cracking; CMS Exploitation; Webshell Execution; Reverse Shell; Privilege Escalation,2-3 hours,2.5,8,Backup zip file via /backup directory (password cracked with fcrackzip)
125,Kuya 1,VulnHub,0,Linux,Web Server + SSH + WordPress + Network Analysis,Hard,3,Web Exploitation,Web Exploitation + Steganography + Packet Analysis + Credential Cracking + Privilege Escalation,Web Enumeration → Steganography Extraction → Encoding/Decoding → Packet Analysis → Credential Extraction → SSH Access → Database Exploitation → Privilege Escalation,Recon → Enumeration → Exploitation → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; Steganography Extraction; Encoding/Decoding; Packet Analysis; SSH Access; Database Exploitation; Privilege Escalation,Web Enumeration; Steganography Extraction; Encoding/Decoding; Packet Analysis; Credential Extraction; SSH Access; Database Exploitation; Privilege Escalation,2-3 hours,2.5,8,Steganography extraction (steghide on images in /loot directory)
126,Matrix 2,VulnHub,0,Linux,Web Server + Multiple HTTPS Services + System,Hard,3,Network Exploitation,Web Exploitation + File Inclusion + Steganography + Credential Chain + Privilege Escalation,Network Enumeration → Local File Inclusion → Hash Cracking → Authentication Bypass → Steganography Extraction → Remote Code Execution → Privilege Escalation,Recon → Exploitation → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; Local File Inclusion; Hash Cracking; Authentication Bypass; Steganography Extraction; Remote Code Execution; Privilege Escalation,Network Enumeration; Local File Inclusion; Hash Cracking; Authentication Bypass; Steganography Extraction; Remote Code Execution; Privilege Escalation,3-4 hours,3.5,7,LFI on file_view.php (port 12322) → htpasswd hash extraction
127,W34kn3ss 1,VulnHub,0,Linux,Web Server + HTTPS + SSH,Hard,3,Web Exploitation,Web Exploitation + Credential Extraction + Cryptographic Analysis + Privilege Escalation,Web Enumeration → SSH Key Extraction → Cryptographic Exploitation → SSH Access → Source Code Disclosure → Privilege Escalation,Recon → Enumeration → Exploitation → Credential Access → Privilege Escalation,Enumeration; SSH Key Extraction; Cryptographic Exploitation; SSH Access; Source Code Disclosure; Privilege Escalation,Web Enumeration; SSH Key Extraction; Cryptographic Exploitation; SSH Access; Source Code Disclosure; Privilege Escalation,2-3 hours,2.5,6,"Weak RSA SSH Key (512-bit public key exposed, cracked via factoring)"
